appearance_id,raw_name,designation_raw,case_id,hearing_date,appearing_for
172,Reya Paul,Advocate on Record,10056,2018-01-08,Applicant
173,Payal Mitra,AOR,10057,2022-05-23,Intervenor
174,Shrutee Aradhna,Sr. Advocate,10057,2022-05-23,Intervenor
175,M. Sathyanarayanan,A.O.R.,10057,2022-05-23,Intervenor
176,Vinay Kumar Aharodiya,Advocate ,10057,2022-05-23,Intervenor
177,Yanitha M. S.,AoR,10057,2022-05-23,Intervenor
178,Shivam Bajpai,advocate,10058,2024-10-03,Union of India
179,Tejasvi Kumar,Advocate,10059,2024-11-09,Respondent
180,A. Sirajudeen,AoR,10059,2024-11-09,Respondent
181,Shivangi Chawla,Advocate on Record,10059,2024-11-09,Respondent
182,Prateek K Chaddha,AOR,10059,2024-11-09,Respondent
183,Aashish Bhagat,advocate,10059,2024-11-09,Respondent
184,Suresh Kumar,Advocate ,10060,2019-03-03,State
185,V. Chittambaresh,Advocate ,10060,2019-03-03,State
186,S. Choudhary,AOR,10060,2019-03-03,State
187,Suresh Kumar,Advocate,10061,2018-11-15,Respondent
188,Sethu Prabhakaran,Adv.,10061,2018-11-15,Respondent
189,Siddharth S. Chapalgaonkar,A.O.R.,10062,2021-08-01,Respondent
190,Devesh Pripathi,Advocate ,10062,2021-08-01,Respondent
191,Abhishek Kumar Pandey,Senior Adv.,10063,2018-12-30,Applicant
192,Chitvan Singhal,AoR,10063,2018-12-30,Applicant
193,Ravi Shankar Singh,Senior Advocate,10063,2018-12-30,Applicant
194,V. N. Subramaniam,Senior Adv.,10064,2021-10-07,State
195,P. Venkateshan,Advocate-on-Record,10064,2021-10-07,State
196,Om Sudhir Vidyarhi,Advocate,10064,2021-10-07,State
197,Rupali Francisca Samuel,Adv.,10064,2021-10-07,State
198,Vikram A Narayanan,Advocate-on-Record,10065,2020-05-08,Respondent
199,Aarav Bhatia,Advocate,10066,2021-12-06,Union of India
200,V Chithamaresh,advocate,10066,2021-12-06,Union of India
201,Purendu Bajapai,Adv.,10066,2021-12-06,Union of India
202,Varun Singu,A.O.R.,10066,2021-12-06,Union of India
203,Bholle Taguru Dhaneendra,AOR,10067,2018-01-06,Petitioner
204,Vinay Kumar Aharodiya,Adv.,10067,2018-01-06,Petitioner
205,Shailja Kulshestha,A.O.R.,10067,2018-01-06,Petitioner
206,Abhinav Shrivastava,Advocate,10067,2018-01-06,Petitioner
207,Akshay Amrianshu,AOR,10068,2022-09-15,Respondent
208,Payal Mitra,Advocate-on-Record,10068,2022-09-15,Respondent
209,Kapil Sibal,Sr. Adv.,10068,2022-09-15,Respondent
210,Pradeep Kumar Dwivedi,Advocate,10069,2023-07-13,State
211,Prateek Chandra,AOR,10069,2023-07-13,State
212,K. Parmeswaran,Advocate,10069,2023-07-13,State
213,Abid Ali Beeran P.,AoR,10069,2023-07-13,State
214,Siddharth Mudgal,A.O.R.,10069,2023-07-13,State
215,Deepak Nargolkar,Advocate on Record,10070,2022-03-18,Petitioner
216,Viraj Mahavir Parakh,A.O.R.,10070,2022-03-18,Petitioner
217,Aarav Bhatiya,AoR,10070,2022-03-18,Petitioner
218,Siddharth Chapalgaokar,AoR,10071,2024-06-25,Applicant
219,Arun Subramanian,Advocate,10071,2024-06-25,Applicant
220,Debasish Guin,Sr.Adv,10071,2024-06-25,Applicant
221,Siddhartha Dave,Adv.,10071,2024-06-25,Applicant
222,Shailja Kulshestha,A.O.R.,10072,2020-07-12,Respondent
223,Yanitha M. S.,AOR,10072,2020-07-12,Respondent
224,Rakesh Aggarwall,advocate,10072,2020-07-12,Respondent
225,B. V. Vidyulatha,advocate,10072,2020-07-12,Respondent
226,Viraj M. Parakah,A.O.R.,10073,2018-05-17,Union of India
227,Shankar Swaminathan,Advocate-on-Record,10073,2018-05-17,Union of India
228,V. Chittambaresh,Adv.,10073,2018-05-17,Union of India
229,Prashanshika Thakur,AOR,10074,2020-12-05,Petitioner
230,Viraj Mahavir Parakh,A.O.R.,10075,2019-11-28,State
231,Shaik Mohammad Haneef,Senior Adv.,10076,2018-11-04,Intervenor
232,Sughosgh Subramaniyam,Advocate,10076,2018-11-04,Intervenor
233,Hema Aahu,Advocate-on-Record,10077,2019-01-17,Union of India
234,Rajeshk Kumar,Sr.Adv,10077,2019-01-17,Union of India
235,Kynphamlin V Kharlyngdoh,Adv.,10077,2019-01-17,Union of India
236,Rajan Kumar Chouraisa,Advocate-on-Record,10077,2019-01-17,Union of India
237,Anamika Ka Yadav,AOR,10077,2019-01-17,Union of India
238,Vishal Khana,Advocate ,10078,2024-11-18,State
239,M. Sathyanarayanan,Advocate-on-Record,10078,2024-11-18,State
240,M. Satyanarayanan,Advocate-on-Record,10078,2024-11-18,State
241,Ayush A Mehrotra,AOR,10079,2022-11-02,Applicant
242,Deepa Sinha,Advocate-on-Record,10079,2022-11-02,Applicant
243,Gopal Sankaranarayanam,Sr. Adv.,10079,2022-11-02,Applicant
244,K. V. Kharlyngdoh,Adv.,10079,2022-11-02,Applicant
245,Prateek K Chadha,AOR,10080,2022-11-14,Respondent
246,Rakesh Agarwal,Advocate-on-Record,10080,2022-11-14,Respondent
247,Chitvan Singh,AoR,10081,2021-09-18,Respondent
248,Bholle Taguru Pharmendra,Advocate on Record,10082,2022-08-04,Applicant
249,Arup Ratan Dutta Choudhury,Advocate-on-Record,10082,2022-08-04,Applicant
250,Swati Ghirdiayl,A.O.R.,10082,2022-08-04,Applicant
251,Abdesh Chaudhary,AOR,10082,2022-08-04,Applicant
252,P. V. Yogeshwaran,Advocate-on-Record,10082,2022-08-04,Applicant
253,M. Sathyanarayanan,A.O.R.,10082,2022-08-04,Applicant
254,Kapil Sibal,Senior Advocate,10083,2024-01-22,Union of India
255,Sumedha Haldev,Advocate,10083,2024-01-22,Union of India
256,Rakesh Agarwala,AoR,10083,2024-01-22,Union of India
257,Dharmavaram Shyam Sunder,Advocate ,10084,2021-05-03,Respondent
258,Adidtya Bhanu Neekhra,Senior Advocate,10084,2021-05-03,Respondent
259,A. Bhatia,advocate,10084,2021-05-03,Respondent
260,Rovins F. Varma,Advocate ,10084,2021-05-03,Respondent
261,Bholle Taguru Pharnendra,AoR,10085,2022-05-29,Intervenor
262,Rishab Parikh,Advocate on Record,10086,2023-07-04,Respondent
263,Swati Ghidiyal,AOR,10086,2023-07-04,Respondent
264,Meherunnisa Anand Jaitley,Advocate-on-Record,10086,2023-07-04,Respondent
265,Krishna Murthy,Advocate-on-Record,10087,2018-01-16,State
266,Gulshan Kumar Sachdeva,Sr. Adv.,10088,2025-06-04,Applicant
267,Sathvik Chandrasekar,A.O.R.,10089,2020-03-28,Petitioner
268,S. B. Upadhyari,Advocate ,10089,2020-03-28,Petitioner
269,Kynphamlin V Kharlyngdoh,Advocate,10089,2020-03-28,Petitioner
270,Abhinav Srivastav,advocate,10090,2019-12-01,Applicant
271,Deepak M. Nargolkar,AoR,10091,2018-12-02,State
272,Siddharth S. Chapalgoankar,Advocate on Record,10091,2018-12-02,State
273,Mokul Rohatgi,Sr.Adv,10092,2021-06-17,State
274,Sumedha Halder,Advocate ,10092,2021-06-17,State
275,Abhinav K. Mutyalwar,AoR,10092,2021-06-17,State
276,Rohit Vikram Choudhary,Advocate on Record,10092,2021-06-17,State
277,A. Bhatia,Sr.Adv,10093,2025-05-31,Union of India
278,Vinay Kumar Aharodiya,Advocate ,10093,2025-05-31,Union of India
279,Vinayak Sharma,Advocate ,10093,2025-05-31,Union of India
280,A. Siraajuddin,Advocate on Record,10094,2024-02-07,State
281,Akshay Amritanshu,A.O.R.,10095,2022-04-12,Union of India
282,Mukul Rohatgi,Senior Adv.,10095,2022-04-12,Union of India
283,L. K. Bhushan,Advocate on Record,10096,2018-07-02,Union of India
284,P. V. Yogeshwaran,A.O.R.,10096,2018-07-02,Union of India
285,Urvi Kuthiala,Advocate ,10097,2020-12-14,Respondent
286,Shaik Mohammad Haneef,Sr. Advocate,10097,2020-12-14,Respondent
287,Atul Yeshwanth Chitale,Advocate ,10097,2020-12-14,Respondent
288,Aarav Bhatia,Sr. Advocate,10098,2024-04-30,Petitioner
289,Malay Patel,Advocate-on-Record,10098,2024-04-30,Petitioner
290,Ishita Chouwdhury,Advocate,10098,2024-04-30,Petitioner
291,Gopal Sankaranarayanam,Sr. Adv.,10098,2024-04-30,Petitioner
292,Devendra Upadhyaya,Sr. Adv.,10099,2025-10-23,Applicant
293,R Balasubramaniumn,Sr. Advocate,10099,2025-10-23,Applicant
294,Garima Prasad,AOR,10100,2025-06-29,Union of India
295,A. Bhatia,A.O.R.,10101,2022-08-23,Intervenor
296,R. K. Srivastava,AOR,10101,2022-08-23,Intervenor
297,Vinay Kumar Aharodiya,advocate,10101,2022-08-23,Intervenor
298,Kapil Shibal,Senior Advocate,10101,2022-08-23,Intervenor
299,Raghvendra Kumar,AoR,10102,2018-09-07,State
300,Satyendra Kumar Yadav,AoR,10102,2018-09-07,State
301,Arvindh Datar,Sr. Advocate,10103,2022-09-11,Intervenor
302,Om Sudhir Vidyarthi,Advocate,10103,2022-09-11,Intervenor
303,M. Venkateshulu,AoR,10103,2022-09-11,Intervenor
304,Satyendra Kumar Yadav,AoR,10103,2022-09-11,Intervenor
305,Dipesh Singhvi,advocate,10104,2023-04-29,Intervenor
306,R. Anand Padmanabhan,AoR,10104,2023-04-29,Intervenor
307,K. v. Kharlyngdog,Advocate,10104,2023-04-29,Intervenor
308,Arudra Rao,A.O.R.,10104,2023-04-29,Intervenor
309,Anupam Mehrotra,Advocate-on-Record,10105,2023-05-05,Union of India
310,Abhishek Kumar Pandey,Sr.Adv,10105,2023-05-05,Union of India
311,Vijayesh Atre,AoR,10105,2023-05-05,Union of India
312,Raghvendra Kumar,AoR,10105,2023-05-05,Union of India
313,Kaveeta Walia,advocate,10105,2023-05-05,Union of India
314,Achsah Elizabeth Raju,Sr. Adv.,10106,2018-05-23,Intervenor
315,K. Pareshwar,advocate,10107,2023-10-18,Intervenor
316,Saran Iqwbal,A.O.R.,10107,2023-10-18,Intervenor
317,Arvind Malik,Advocate on Record,10107,2023-10-18,Intervenor
318,M. Sathyanarayanan,AoR,10108,2024-12-15,Respondent
319,Rajan Kumar Chourasia,A.O.R.,10108,2024-12-15,Respondent
320,Kapil Sibal,Sr. Adv.,10108,2024-12-15,Respondent
321,V. Chittambaresh,Advocate ,10108,2024-12-15,Respondent
322,R. Anand Padmanabhgan,Advocate-on-Record,10109,2023-01-14,Respondent
323,Akshay Amkritanshu,A.O.R.,10109,2023-01-14,Respondent
324,G. S. Rathore,Adv.,10110,2019-11-16,Respondent
325,Kanchan Thapliyal,Advocate on Record,10110,2019-11-16,Respondent
326,Rajan Kr. Chaurasia,AOR,10110,2019-11-16,Respondent
327,R. Balasubramiam,Senior Advocate,10110,2019-11-16,Respondent
328,Kabir Alizia,Senior Advocate,10110,2019-11-16,Respondent
329,Rakesh Aggrawal,Advocate,10111,2019-06-01,Petitioner
330,Lipi Garg,Advocate on Record,10111,2019-06-01,Petitioner
331,Paarthiv Goswami,Advocate-on-Record,10111,2019-06-01,Petitioner
332,Amit Soni,A.O.R.,10111,2019-06-01,Petitioner
333,Rakesh Agarwal,AoR,10112,2025-08-30,State
334,Rajan Kumar Chouasia,Advocate-on-Record,10112,2025-08-30,State
335,Kynpham V. Karlyngdoh,Advocate,10112,2025-08-30,State
336,Prateek K Chaddha,Advocate on Record,10113,2025-01-13,Respondent
337,Alapati Sahitya Krishna,A.O.R.,10113,2025-01-13,Respondent
338,K. Panmeshwar,Adv.,10114,2020-11-22,Union of India
339,Vikram Aditya Narayana,A.O.R.,10114,2020-11-22,Union of India
340,Pal Singh,advocate,10114,2020-11-22,Union of India
341,Deepak Nargolkar,AoR,10114,2020-11-22,Union of India
342,Polanki Gowtham,AoR,10115,2018-10-02,Petitioner
343,Zaid Raza,Advocate ,10115,2018-10-02,Petitioner
344,P.. Suresh,A.O.R.,10115,2018-10-02,Petitioner
345,V. N. Subramaniam,Senior Adv.,10115,2018-10-02,Petitioner
346,Alapati Sahithya Krishna,Advocate on Record,10115,2018-10-02,Petitioner
347,Priya Sharma,Sr.Adv,10116,2022-06-16,Intervenor
348,Prateek K Chaddha,AOR,10116,2022-06-16,Intervenor
349,Siddharth H. Dave,Advocate ,10116,2022-06-16,Intervenor
350,Aditya B. Neekhra,Senior Adv.,10117,2021-02-05,Intervenor
351,Priya Sharma A.,Senior Advocate,10117,2021-02-05,Intervenor
352,Rupali Francisca Samuel,advocate,10118,2018-02-20,Applicant
353,Rupali Samuel,Advocate ,10118,2018-02-20,Applicant
354,Alapati Sahithya Krihnas,Advocate on Record,10118,2018-02-20,Applicant
355,Arvind P. Datar,Sr. Adv.,10119,2023-11-11,State
356,Ajith Williyam,Advocate on Record,10119,2023-11-11,State
357,Deepak Nargoklar,AOR,10119,2023-11-11,State
358,Indira B.,Advocate,10120,2019-09-05,Respondent
359,Askhay Amritanshu,Advocate-on-Record,10120,2019-09-05,Respondent
360,Kapil Sibbal,Sr. Advocate,10121,2024-07-14,Petitioner
361,Prateek Chadda,A.O.R.,10121,2024-07-14,Petitioner
362,Sanket Sarawgi,Advocate,10121,2024-07-14,Petitioner
363,K. parmeswar,Advocate ,10122,2024-04-23,Petitioner
364,Vishal Khanna,Adv.,10122,2024-04-23,Petitioner
365,A. Bhatia,Sr. Adv.,10122,2024-04-23,Petitioner
366,V. Chittambaresh,Adv.,10122,2024-04-23,Petitioner
367,Smt. Priya Sharma,Sr.Adv,10122,2024-04-23,Petitioner
368,P.. Suresh,A.O.R.,10123,2024-01-03,Union of India
369,Vikash Chandra Shukla,Adv.,10123,2024-01-03,Union of India
370,Abhinav Muktyalwar,Advocate on Record,10123,2024-01-03,Union of India
371,Vikramaditya Pandey,Advocate on Record,10123,2024-01-03,Union of India
372,Rajan Kumar Chourasia,AoR,10124,2020-12-17,State
373,Abhishek Kumar Pandey,Sr. Adv.,10124,2020-12-17,State
374,Archana Pathak Dave,Advocate ,10124,2020-12-17,State
375,P. Vishwanatha Sheety,Sr. Advocate,10124,2020-12-17,State
376,Anand Sanjay M. Nuli,AOR,10124,2020-12-17,State
377,Ahinav Shrivastava,Adv.,10125,2024-06-01,Intervenor
378,Vishal Khana,Adv.,10125,2024-06-01,Intervenor
379,Vikramjeet Banjeree,AoR,10125,2024-06-01,Intervenor
380,R. Anand Padanabhan,A.O.R.,10125,2024-06-01,Intervenor
381,Sabbir Kacchi,Senior Adv.,10126,2019-12-07,Union of India
382,Kapil Sibal,Sr.Adv,10126,2019-12-07,Union of India
383,R. Anand Padmanabhan,AoR,10126,2019-12-07,Union of India
384,Asoke Kumar Banerjee,advocate,10127,2024-12-07,Intervenor
385,Rahul Kushwaha,Adv.,10127,2024-12-07,Intervenor
386,Saran Iqwbal,Advocate on Record,10127,2024-12-07,Intervenor
387,Om Sudhir Vidyarthi,advocate,10128,2022-07-04,Petitioner
388,Gopal Sankarnararayanan,Sr. Adv.,10128,2022-07-04,Petitioner
389,Shashi Bhusan Upadhaya,Advocate ,10128,2022-07-04,Petitioner
390,Alapati Sahithya Krihnas,Advocate-on-Record,10128,2022-07-04,Petitioner
391,Rohini Arora,Adv.,10129,2021-09-19,Applicant
392,Akshay Amritanshu,Advocate on Record,10129,2021-09-19,Applicant
393,Nitin Jangra,Advocate-on-Record,10129,2021-09-19,Applicant
394,P. Vishwanathan Shetty,Sr.Adv,10130,2023-05-01,Union of India
395,Arvindh Datar,Senior Advocate,10130,2023-05-01,Union of India
396,Sheikh Fakhruddin Kalia,Adv.,10131,2018-03-24,Union of India
397,Siddharth S. Chapalgaorkar,Advocate-on-Record,10131,2018-03-24,Union of India
398,Malay Patel,Advocate-on-Record,10131,2018-03-24,Union of India
399,Polanki Gowtam,AOR,10131,2018-03-24,Union of India
400,Arvind P. Datar,Senior Advocate,10131,2018-03-24,Union of India
401,Bheem Choudhary,A.O.R.,10132,2021-05-26,Union of India
402,Siddharth S. Chapalganonkar,AoR,10132,2021-05-26,Union of India
403,Pratishtha Majumdar,Senior Advocate,10132,2021-05-26,Union of India
