cluster_id,canonical_name,inferred_designation,name_selection_reason,member_count,unique_raw_names,unique_cases,all_raw_variants
17,Praveen Kumar Shharma,AOR,most_frequent,11,5,11,Parveen Kumar Sharma | Parveen Sharma | Praveen Kumar Sharma | Praveen Kumar Shharma | Praveen Sharma
18,S. n. Mitra,AOR,most_frequent,2,1,2,S. n. Mitra
19,Rahul Kushwaha,ADVOCATE,most_frequent,14,4,13,Rahul Khuswaha | Rahul Kushwah | Rahul Kushwaha | Rahul Kushwha
20,Kynphamlin V Kharlyngdoh,ADVOCATE,most_frequent,63,6,61,K. V. Kharlyngdoh | K. v. Kharlyngdog | Kynpham V. Karlyngdoh | Kynpham V. Kharlyndoh | Kynpham V. Kharlyngdoh | Kynphamlin V Kharlyngdoh
21,Avijit Mani Tripathy,AOR,most_frequent,3,2,3,Avijit Mani Tripathi | Avijit Mani Tripathy
22,Suresh Kumar,ADVOCATE,most_frequent,21,2,21,Suresh Kumar | Sureshan Kumar
23,Vikash Chandra Shukla,ADVOCATE,most_frequent,6,1,6,Vikash Chandra Shukla
24,Arvindh Datar,SENIOR,most_frequent,28,4,28,Aravind Datar | Arvind Datar | Arvind Dattar | Arvindh Datar
25,Aashish Bhagat,ADVOCATE,most_frequent,6,1,6,Aashish Bhagat
26,N. Venkatraman,AOR,most_frequent,41,7,41,N V Venkataraman | N Venkataraman | N Venkatrama | N Venkatramnan | N. Venkataram | N. Venkataraman | N. Venkatraman
27,Vikramjeet Banernee,AOR,most_frequent,5,1,5,Vikramjeet Banernee
28,Kynpham V. Khalyngdoh,ADVOCATE,most_frequent,5,1,5,Kynpham V. Khalyngdoh
29,Yashswini,AOR,registry(sim=1.00),6,1,6,Yashswini
30,Mukul Rohatgi,SENIOR,most_frequent,35,6,34,Mokul Rohatgi | Mukhul Rohatgi | Mukul Roahtagi | Mukul Rohatagi | Mukul Rohatgi | Mukul Rohtagi
31,Rahul Shamber,AOR,longest,2,2,2,Rahul Sambher | Rahul Shamber
32,Mala Venkatesulu,AOR,most_frequent,17,3,17,M. Venkateshulu | M. Venkatesulu | Mala Venkatesulu
33,Musunuri Satyanarayana,AOR,most_frequent,75,8,74,M Sathyanaryanan | M. Sathiyanarayana | M. Sathyanarayaman | M. Sathyanarayana | M. Sathyanarayanan | M. Satyanarayana | M. Satyanarayanan | Musunuri Satyanarayana
34,Nithin Chowdhury Pavuluri,SENIOR,registry(sim=1.00),2,2,2,Nithin Chowdhury Pavuluri | Nithin Chowdray Pavuluri
35,V. Chittambaresh,ADVOCATE,most_frequent,76,6,75,V Chithambres | V. Chidambaresh | V. Chitambaresh | V. Chithambaresh | V. Chithembaresh | V. Chittambaresh
36,Vishal Khanna,ADVOCATE,most_frequent,56,3,54,V. Khanna | Vishal Khana | Vishal Khanna
37,Muhammad Farman Ashraf,ADVOCATE,most_frequent,6,3,6,Mohammad Farman Ashraf | Mohd. Farman Ashraf | Muhammad Farman Ashraf
38,K. Parmeswaran,ADVOCATE,most_frequent,43,6,40,K Parmeshw | K. PARMESHWAR | K. Parmeshwaram | K. Parmeshwra | K. Parmeswaran | K. parmeswar
39,Ehraaz Zafar,AOR,most_frequent,6,1,6,Ehraaz Zafar
40,Ananya Mittal,SENIOR,most_frequent,5,1,5,Ananya Mittal
41,Hema Aahu,AOR,most_frequent,3,1,3,Hema Aahu
42,Sabir Rafiq Kachhi,SENIOR,most_frequent,18,5,18,Sabbir Kacchi | Sabir Kacchi | Sabir Kachhi | Sabir Kachi | Sabir Rafiq Kachhi
43,Sughosh Subramanayam,ADVOCATE,most_frequent,37,6,37,Subodh Subramaniyam | Sughosgh Subramaniyam | Sughosh Subramanayam | Sughosh Subramaniyam | Sughosh Subramayam | Sughosh Subranmayam
44,Saunak Kumar Rajguru,AOR,most_frequent,6,3,6,Saunak Kumar Rajguru | Saunak Rajguru | Shaunak Rajguru
45,Piyush Deshpande,AOR,most_frequent,5,1,5,Piyush Deshpande
46,Rakesh Agarwal,ADVOCATE,most_frequent,57,6,56,Rakesh Agarwal | Rakesh Agarwala | Rakesh Aggarwal | Rakesh Aggarwall | Rakesh Aggrawal | Rakesh Agrwal
47,Partiv K. Goswami,AOR,most_frequent,9,2,9,Parthiv K. Goshwami | Partiv K. Goswami
48,Sunil Narayanan S.,ADVOCATE,most_frequent,4,1,4,Sunil Narayanan S.
49,Abhishek Kumar Pandey,SENIOR,most_frequent,68,5,66,Abhieshek Kumar Pandey | Abhishek Kr. Pandey | Abhishek Kumar Pandey | Abhishek Panday | Abhishek Pandey
50,Beena Victo,AOR,longest,1,1,1,Beena Victo
51,T. R. B. Sivakumar,AOR,registry(sim=1.00),4,1,4,T. R. B. Sivakumar
52,Aanand Krishna,AOR,most_frequent,5,1,5,Aanand Krishna
53,Garima Prasad,AOR,most_frequent,26,4,26,Garima Parashad | Garima Prasad | Garima Prasadh | Garima Prashad
54,Gopal Sankaranarayanan,SENIOR,most_frequent,37,15,37,Gopal Sankaranarayanam | Gopal Sankaranarayanan | Gopal Sankaranarayananan | Gopal Sankaranayanans | Gopal Sankaranayayanan | Gopal Sankararayanan | Gopal Sankarayanan | Gopal Sankarnararayanan | Gopal Sankarnarayanan | Gopal Sankarnarayananan | Gopal Sankarnaraynan | Gopal Shankaranarayan | Gopal Shankaranarayanan | Gopal Shankranarayanan | Gopal Snakaranarayana
55,Satish Bakshi,ADVOCATE,most_frequent,2,1,2,Satish Bakshi
56,Swati Ghildiyal,AOR,most_frequent,41,5,39,Swati Ghildhiyal | Swati Ghildiyal | Swati Ghildiyla | Swati Gildiyal | Swati Gildyal
57,Kapil Sibal,SENIOR,registry(sim=1.00),82,5,82,Kapi Sibal | Kapil Shibal | Kapil Sibal | Kapil Sibbal | Kapil Sibhal
58,SharavanMadhav K. P,AOR,most_frequent,5,1,5,SharavanMadhav K. P
59,P. V. Yogeshwaran,AOR,registry(sim=1.00),29,3,29,P V Yogeswaram | P. V Yogesgwaran | P. V. Yogeshwaran
60,Sailandra Solanki,ADVOCATE,most_frequent,4,1,4,Sailandra Solanki
61,Akshay Amritanshu,AOR,most_frequent,65,6,64,Akshay Amritanshu | Akshay Amritansu | Akshay Amritranshu | Akshay Amritsanshu | Akshway Amritanshu | Askhay Amritanshu
62,Gaurav Nats,AOR,most_frequent,5,1,5,Gaurav Nats
63,Rajesh Singh Chauchan,AOR,longest,1,1,1,Rajesh Singh Chauchan
64,Vinayak Shartma,ADVOCATE,most_frequent,5,1,5,Vinayak Shartma
65,Sandeep Payaal,AOR,longest,1,1,1,Sandeep Payaal
66,Garima Prashad u. p,AOR,most_frequent,6,1,6,Garima Prashad u. p
67,Anand Satyaselan,SENIOR,longest,1,1,1,Anand Satyaselan
68,Adv. Priya Sharma,SENIOR,longest,11,2,11,Adv. Priya Sharma | Priya Sharma
69,Zaid Raza,ADVOCATE,most_frequent,6,1,6,Zaid Raza
70,Vikramjeet Banjeree,AOR,most_frequent,4,1,4,Vikramjeet Banjeree
71,Rajesh Singh Chaunhan,AOR,most_frequent,2,1,2,Rajesh Singh Chaunhan
72,Akshay Amkritanshu,AOR,most_frequent,13,1,13,Akshay Amkritanshu
73,Bholle Taguru Pharmendra,AOR,most_frequent,15,2,14,Bholle Taguru Pharmendra | Bholle Taguru Pharnendra
74,Prateek K Chaddha,AOR,registry(sim=1.00),58,6,58,Prateek Chada | Prateek Chadda | Prateek Chaddha | Prateek K Chaddha | Prateek K Chadha | Prateek Krishna Chadha
75,Rajeev Kumar Choudhary,SENIOR,most_frequent,10,4,10,Rajeev Chowdhuray | Rajeev Kumar Choudhary | Rajshree Chaudhari | Rajshree Choudhary
76,Rajan Kumar Chourasia,AOR,most_frequent,58,12,57,Raja Kumar Chourasia | Rajan K. Chourasia | Rajan Kmumar Chourasia | Rajan Kr. Chaurasia | Rajan Kumar Chaurasia | Rajan Kumar Chouraisa | Rajan Kumar Chourasaia | Rajan Kumar Chourasia | Rajan Kumar Chourasiya | Rajan Kumar Chourazia | Rajan Kumat Chourasia | Rajan Mumar Chourasiya
77,DrishtiS Saraf,SENIOR,most_frequent,2,1,2,DrishtiS Saraf
78,Hasan Sayed,AOR,most_frequent,5,1,5,Hasan Sayed
79,T. S. Ahuja,ADVOCATE,most_frequent,3,1,3,T. S. Ahuja
80,Gagan Tiwari,AOR,most_frequent,5,1,5,Gagan Tiwari
81,Vinay Kumar Aharodiya,ADVOCATE,most_frequent,21,5,21,Vinay Kr. Aherodiya | Vinay Kumar Aharodiya | Vinay Kumar Aherodia | Vinay Kumar Aherodiya | Vinay Kumar Ahrodia
82,Ajith Williyam,AOR,most_frequent,6,3,6,Ajith Willayam | Ajith William | Ajith Williyam
83,Avijit Chakraborty,AOR,most_frequent,2,1,2,Avijit Chakraborty
84,Garima Prasha,AOR,most_frequent,6,1,6,Garima Prasha
85,Hitesh B. J.,ADVOCATE,most_frequent,4,1,4,Hitesh B. J.
86,Laxmi Narayan Pandey,AOR,most_frequent,5,1,5,Laxmi Narayan Pandey
87,Awadesh Chaubey,AOR,most_frequent,6,1,6,Awadesh Chaubey
88,Chittra Y. Parade,ADVOCATE,most_frequent,2,1,2,Chittra Y. Parade
89,Sathvik Chandrashekar,AOR,most_frequent,20,3,20,Sathvik Chandrasekar | Sathvik Chandrasekhar | Sathvik Chandrashekar
90,Abdesh Chaudhary,AOR,most_frequent,22,4,22,Abdesh Chaudhary | Adesh Chaudhary | Adesh Choudhary | Awdesh Chaudhary
91,Deepak Nargolkar,AOR,most_frequent,10,1,10,Deepak Nargolkar
92,Bholle Taguru Pharendra,AOR,most_frequent,30,1,30,Bholle Taguru Pharendra
93,Indira B.,ADVOCATE,most_frequent,5,1,5,Indira B.
94,Jandyala Ravi Shankar,AOR,most_frequent,4,1,4,Jandyala Ravi Shankar
95,Abhinav K. Mutyalwar,AOR,most_frequent,26,1,26,Abhinav K. Mutyalwar
96,Awaint Kumar Singh,AOR,most_frequent,4,3,4,Awaint Kumar Singh | Awani Kumar Singh | Awanit Kumar Singh
97,Vijayesh Atre,AOR,most_frequent,5,1,5,Vijayesh Atre
98,Nagma Khan,SENIOR,most_frequent,2,1,2,Nagma Khan
99,V Chithamaresh,ADVOCATE,most_frequent,12,2,12,V Chithamaresh | V. chitamaresh
100,Gopalkrishnan P.,ADVOCATE,longest,1,1,1,Gopalkrishnan P.
101,Oppal Tiwari,ADVOCATE,most_frequent,6,1,6,Oppal Tiwari
102,Swikar Sankrit,ADVOCATE,most_frequent,4,1,4,Swikar Sankrit
103,Reya Paul,AOR,most_frequent,3,1,3,Reya Paul
104,Payal Mitra,AOR,most_frequent,5,1,5,Payal Mitra
105,Shrutee Aradhana,SENIOR,registry(sim=1.00),4,3,4,Shrutee Aradhana | Shrutee Aradhna | Srutee Aradhana
106,Yanitha M. S.,AOR,most_frequent,4,1,4,Yanitha M. S.
107,Shivam Bajpai,ADVOCATE,most_frequent,5,1,5,Shivam Bajpai
108,Tejasvi Kumar,ADVOCATE,most_frequent,5,1,5,Tejasvi Kumar
109,A. Sirajudeen,AOR,most_frequent,18,6,18,A Sirajhudeen | A. Shirajudeen | A. Siraajuddin | A. Sirajudden | A. Sirajudeen | A. Sirazudeen
110,Shivangi Chawla,AOR,registry(sim=1.00),5,1,5,Shivangi Chawla
111,S. Choudhary,AOR,registry(sim=1.00),4,1,4,S. Choudhary
112,Devesh Pripathi,ADVOCATE,most_frequent,4,1,4,Devesh Pripathi
113,Chitvan Singhal,AOR,most_frequent,16,3,16,Chitvan Singhal | Chitvan Singhl | Chivan Singhal
114,Ravi Shankar Singh,SENIOR,most_frequent,4,1,4,Ravi Shankar Singh
115,V. N. Subramaniam,SENIOR,registry(sim=1.00),13,2,13,V. N. Subramaniam | V. N. Subramanian
116,P. Venkateshan,AOR,most_frequent,26,4,26,P Venkateran | P. Venkatesan | P. Venkatesen | P. Venkateshan
117,Om Sudhir Vidyarhi,ADVOCATE,most_frequent,2,1,2,Om Sudhir Vidyarhi
118,Rupali Francisca Samuel,ADVOCATE,most_frequent,5,2,4,Rupali Francisca Samuel | Rupali Samuel
119,Vikram A Narayanan,AOR,most_frequent,2,1,2,Vikram A Narayanan
120,Purendu Bajapai,ADVOCATE,longest,1,1,1,Purendu Bajapai
121,Varun Singu,AOR,most_frequent,4,1,4,Varun Singu
122,Bholle Taguru Dhaneendra,AOR,most_frequent,6,1,6,Bholle Taguru Dhaneendra
123,Shailja Kulsheshtha,AOR,most_frequent,8,3,7,Shailja Kulsheshtha | Shailja Kulsheshtra | Shailja Kulshestha
124,Akshay Amrianshu,AOR,most_frequent,6,1,6,Akshay Amrianshu
125,Pradeep Kumar Dwivedi,ADVOCATE,longest,2,2,2,Pradeep Kumar Dewivedi | Pradeep Kumar Dwivedi
126,Prateek Chandra,AOR,most_frequent,5,1,5,Prateek Chandra
127,Abid Ali Beeran P.,AOR,longest,1,1,1,Abid Ali Beeran P.
128,Siddharth Mudgal,AOR,most_frequent,6,1,6,Siddharth Mudgal
129,Viraj Mahavir Parakh,AOR,most_frequent,27,6,27,Viraj M. Parakah | Viraj M. Parakh | Viraj M. Parekh | Viraj Mahavir Parakh | Viraj Parakh | Viraj Parikh
130,Arun Subramanian,ADVOCATE,most_frequent,2,1,2,Arun Subramanian
131,Debasish Guin,SENIOR,most_frequent,4,1,4,Debasish Guin
132,Siddhartha Dave,ADVOCATE,most_frequent,10,2,10,Siddharth Dave | Siddhartha Dave
133,B. V. Vidyulatha,ADVOCATE,longest(clean),1,1,1,B. V. Vidyulatha
134,Shankar Swaminathan,AOR,registry(sim=1.00),2,1,2,Shankar Swaminathan
135,Prashanshika Thakur,AOR,most_frequent,6,1,6,Prashanshika Thakur
136,Shaik Mohammad Haneef,SENIOR,registry(sim=1.00),13,4,13,Shaik Mohammad Haneef | Shaik Mohammand Haneef | Shaik Mohd. Haneef | Shaik Mohmammad Haneef
137,Rajeshk Kumar,SENIOR,most_frequent,6,1,6,Rajeshk Kumar
138,Anamika Ka Yadav,AOR,longest,2,2,2,Anamika Ka Yadav | Anamika Yadav
139,Ayush A Mehrotra,AOR,most_frequent,4,1,4,Ayush A Mehrotra
140,Deepa Sinha,AOR,registry(sim=1.00),4,1,4,Deepa Sinha
141,Chitvan Singh,AOR,longest,1,1,1,Chitvan Singh
142,Arup Ratan Dutta Chaudhury,AOR,most_frequent,6,3,6,Arub Ratan Dutta Chaudhury | Arup Ratan Dutta Chaudhury | Arup Ratan Dutta Choudhury
143,Swati Ghirdiayl,AOR,most_frequent,11,2,11,Swati Ghirdiayl | Swati Ghirdiyal
144,Sumedha Haldev,ADVOCATE,longest,1,1,1,Sumedha Haldev
145,Dharmavaram Shyam Sunder,ADVOCATE,most_frequent,6,1,6,Dharmavaram Shyam Sunder
146,Adithya Bhanu Neekhra,SENIOR,most_frequent,11,5,11,Adidtya Bhanu Neekhra | Adithya Bhanu Neekhra | Aditya B. Neekhra | Aditya Bhanu Neekhra | Aditya Bhanu Neekra
147,Rovins F. Varma,ADVOCATE,most_frequent,2,1,2,Rovins F. Varma
148,Rishab Parik,AOR,most_frequent,3,2,3,Rishab Parik | Rishab Parikh
149,Swati Ghidiyal,AOR,most_frequent,5,1,5,Swati Ghidiyal
150,Meherunnisa Anand Jaitley,AOR,longest,1,1,1,Meherunnisa Anand Jaitley
151,Krishna Murthy,AOR,most_frequent,4,2,4,Krishna Murthi | Krishna Murthy
152,Gulshan Kumar Sachdeva,SENIOR,registry(sim=1.00),5,1,5,Gulshan Kumar Sachdeva
153,S. B. Upadhyari,ADVOCATE,most_frequent,4,1,4,S. B. Upadhyari
154,Deepak M. Nargolkar,AOR,most_frequent,7,2,7,D M Nargolkar | Deepak M. Nargolkar
155,Sumedha Halder,ADVOCATE,most_frequent,5,1,5,Sumedha Halder
156,Rohit Vikram Choudhary,AOR,most_frequent,13,4,13,R. V. Choudhary | Rohit V. Choudhary | Rohit Vikram Choudhary | Rohit Vikram Chowdhary
157,Vinayak Sharma,ADVOCATE,most_frequent,10,3,10,Vinayak S. Sharma | Vinayak Sahrma | Vinayak Sharma
158,L. K. Bhushan,AOR,most_frequent,3,1,3,L. K. Bhushan
159,Urvi Kuthiala,ADVOCATE,longest,1,1,1,Urvi Kuthiala
160,Atul Yeshwanth Chitale,ADVOCATE,longest,1,1,1,Atul Yeshwanth Chitale
161,Malay Patel,AOR,most_frequent,6,1,6,Malay Patel
162,Ishita Chouwdhury,ADVOCATE,longest,2,2,2,Ishita Chouwdhury | Ishita Chowdhary
163,Devendra Upadhyaya,SENIOR,most_frequent,4,1,4,Devendra Upadhyaya
164,R. K. Srivastava,AOR,most_frequent,5,2,5,R. K. Shrivastava | R. K. Srivastava
165,Raghvendra Kumar,AOR,most_frequent,5,1,5,Raghvendra Kumar
166,Satyendra Kumar Yadav,AOR,most_frequent,6,1,6,Satyendra Kumar Yadav
167,Om Sudhir Vidyarthi,ADVOCATE,most_frequent,13,4,13,Om Sudhir Vidhyarthi | Om Sudhir Vidyarthi | Om Sudhir Vidyarti | Om Suhir Vidyarthi
168,Dipesh Singhvi,ADVOCATE,most_frequent,5,1,5,Dipesh Singhvi
169,Arudra Rao,AOR,longest,2,2,2,Arudhra Rao | Arudra Rao
170,Anupam Mehrotra,AOR,longest,1,1,1,Anupam Mehrotra
171,Kaveeta Walia,ADVOCATE,most_frequent,4,1,4,Kaveeta Walia
172,Achsah Elizabeth Raju,SENIOR,most_frequent,5,1,5,Achsah Elizabeth Raju
173,K. Pareshwar,ADVOCATE,most_frequent,5,1,5,K. Pareshwar
174,Saran Iqwbal,AOR,most_frequent,6,1,6,Saran Iqwbal
175,Arvind Malik,AOR,most_frequent,6,1,6,Arvind Malik
176,G. S. Rathore,ADVOCATE,most_frequent,5,1,5,G. S. Rathore
177,Kanchan Thapliyal,AOR,longest,1,1,1,Kanchan Thapliyal
178,Kabir Alizia,SENIOR,most_frequent,2,1,2,Kabir Alizia
179,Lipi Garg,AOR,most_frequent,4,1,4,Lipi Garg
180,Paarthiv Goswami,AOR,longest,2,2,2,Paarthiv Goswami | Parthiv Goswami
181,Amit Soni,AOR,most_frequent,6,1,6,Amit Soni
182,Rajan Kumar Chouasia,AOR,most_frequent,5,1,5,Rajan Kumar Chouasia
183,K Pameshwar,ADVOCATE,most_frequent,4,2,4,K Pameshwar | K. Panmeshwar
184,Vikram Aditya Narayana,AOR,most_frequent,4,2,4,Vikram Aditya Narayan | Vikram Aditya Narayana
185,Polanki Gowtham,AOR,registry(sim=1.00),21,5,20,P. Gowtham | Polanki Gowhtam | Polanki Gowtam | Polanki Gowtham | Polankig Gowtham
186,P.. Suresh,AOR,most_frequent,6,1,6,P.. Suresh
187,Siddharth H. Dave,ADVOCATE,most_frequent,4,1,4,Siddharth H. Dave
188,Priya Sharma A.,SENIOR,most_frequent,3,1,3,Priya Sharma A.
189,Alapati Sahithya Krihnas,AOR,most_frequent,6,1,6,Alapati Sahithya Krihnas
190,Arvind P. Datar,SENIOR,most_frequent,33,3,33,Aravind P Datar | Arvind P. Datar | Arvind P. Dattar
191,Deepak Nargoklar,AOR,most_frequent,13,2,13,Deepak Nargokar | Deepak Nargoklar
192,Sanket Sarawgi,ADVOCATE,most_frequent,4,2,4,Sanket Saragwi | Sanket Sarawgi
193,Smt. Priya Sharma,SENIOR,most_frequent,3,1,3,Smt. Priya Sharma
194,Abhinav Muktyalwar,AOR,most_frequent,4,1,4,Abhinav Muktyalwar
195,Vikramaditya Pandey,AOR,longest,1,1,1,Vikramaditya Pandey
196,Archana Pathak Dave,ADVOCATE,most_frequent,18,5,18,A. P. Dave | Archana P. Dave | Archana Patahak Dave | Archana Pathak Dave | Archanat Pathak Dave
197,Anand Sanjay Sanjay M. Nuli,AOR,longest,2,2,2,Anand Sanjay M. Nuli | Anand Sanjay Sanjay M. Nuli
198,R. Anand Padanabhan,AOR,most_frequent,2,1,2,R. Anand Padanabhan
199,Asoke Kumar Banerjee,ADVOCATE,most_frequent,3,1,3,Asoke Kumar Banerjee
200,Shashi Bhusan Upadhaya,ADVOCATE,most_frequent,10,5,10,S. B. Upadhayay | S. B. Upadhyay | Sashi B Upadhyay | Shashi B. Upadhyay | Shashi Bhusan Upadhaya
201,Rohini Arora,ADVOCATE,most_frequent,6,1,6,Rohini Arora
202,Nitin Jangra,AOR,most_frequent,6,1,6,Nitin Jangra
203,Sheikh Fakhruddin Kalia,ADVOCATE,most_frequent,14,5,14,S. F. Kalia | Sheika F. Kalia | Sheikh Fakhruddin Kalia | Sheikhj F. Kalia | Shekih F. Kalia
204,Bheem Choudhary,AOR,registry(sim=1.00),1,1,1,Bheem Choudhary
205,Pratishtha Majumdar,SENIOR,most_frequent,4,2,4,Prartishtha Majumdar | Pratishtha Majumdar
206,Abhyankar Pratap,SENIOR,most_frequent,4,1,4,Abhyankar Pratap
207,Shohan Dev,AOR,most_frequent,4,1,4,Shohan Dev
208,Seshatalpa Sai Bandaru,AOR,most_frequent,15,4,15,S. S. Bandaru | Sesatalpa Sai Bandharu | Seshatalpa Sai Bandaru | Seshatalpa Sai Bandharu
209,S. Kumar,ADVOCATE,most_frequent,10,1,10,S. Kumar
210,Vaibhav Yeshwant Kulkarni,ADVOCATE,most_frequent,13,2,13,Vaibhav Y. Kulkarni | Vaibhav Yeshwant Kulkarni
211,BPS Dhakrey,ADVOCATE,most_frequent,2,1,2,BPS Dhakrey
212,Santosh Kumar Kolkunda,ADVOCATE,most_frequent,3,2,3,Santhosh Kumar Kolkundra | Santosh Kumar Kolkunda
213,Yudisht Singh,AOR,longest,1,1,1,Yudisht Singh
214,R. Anand Paemanabhan,AOR,most_frequent,3,1,3,R. Anand Paemanabhan
215,Soham Krishan Luthra,AOR,registry(sim=1.00),1,1,1,Soham Krishan Luthra
216,Ajith Williams,AOR,most_frequent,4,2,4,A. Williams | Ajith Williams
217,Garima Plrasad,AOR,most_frequent,4,1,4,Garima Plrasad
218,Mohammad Shahrukh Ali,AOR,most_frequent,6,4,6,Md Sharuk Ali | Md. Shahrukh Ali | Mohammad Shahrukh Ali | Mohd. Shahrukh Ali
219,Rohan Kumar Santoshi,AOR,most_frequent,5,2,5,Roahn K Santoshi | Rohan Kumar Santoshi
220,Ravinder N. Grover,AOR,registry(sim=1.00),6,1,6,Ravinder N. Grover
221,Deepak G. R.,SENIOR,most_frequent,5,1,5,Deepak G. R.
222,Bholle Taguru Phamendra,AOR,most_frequent,23,4,23,Bholle Taguru Phamendra | Bholle Taguru Phaneendra | Bholle Taguru Phanendra | Bholle Taguru Phannendra
223,Jayant K. Mehta,ADVOCATE,longest,1,1,1,Jayant K. Mehta
224,Vedant Varshney,AOR,longest,1,1,1,Vedant Varshney
225,Kapil Sibalm,SENIOR,most_frequent,6,1,6,Kapil Sibalm
226,Karan Kehar,AOR,registry(sim=1.00),3,1,3,Karan Kehar
227,Mahesh A. Jadhav,AOR,most_frequent,3,1,3,Mahesh A. Jadhav
228,Sanjiv Sawant,AOR,registry(sim=1.00),2,1,2,Sanjiv Sawant
229,Muthu Ganesh Pandian,AOR,most_frequent,19,4,19,Muthu Ganesan Pandian | Muthu Ganesh Pandian | Muthu Ganesh Pandiyan | Muthu Hanesa Pandian
230,Mitlesh Kumar J Sha,AOR,most_frequent,6,1,6,Mitlesh Kumar J Sha
231,Sana Banyal,AOR,longest,1,1,1,Sana Banyal
232,Shailja Kulshreshtha,AOR,most_frequent,7,2,7,Shailja Kulshreshta | Shailja Kulshreshtha
233,Gnagurunathan,ADVOCATE,most_frequent,3,1,3,Gnagurunathan
234,Mukul Rohgtagi,SENIOR,most_frequent,3,1,3,Mukul Rohgtagi
235,S. S. Sobti,AOR,longest(clean),5,1,5,S. S. Sobti
236,Sanjeev Kumar,AOR,most_frequent,8,2,8,Sanjeev Kumar | Sanjev Kumar
237,Naveen Kumar Jain,AOR,most_frequent,2,1,2,Naveen Kumar Jain
238,Bhuvneshver Prasad Nadheria,AOR,most_frequent,4,1,4,Bhuvneshver Prasad Nadheria
239,Saurabh Tiwari,SENIOR,most_frequent,2,1,2,Saurabh Tiwari
240,Vikaram Singh Gulia,ADVOCATE,most_frequent,5,1,5,Vikaram Singh Gulia
241,J. Vasanth,AOR,most_frequent,6,1,6,J. Vasanth
242,Sughosh Suramanyam,ADVOCATE,most_frequent,5,1,5,Sughosh Suramanyam
243,Arvind P. Data,SENIOR,most_frequent,6,1,6,Arvind P. Data
244,Sughosh Subnramanyam,ADVOCATE,most_frequent,3,1,3,Sughosh Subnramanyam
245,Aditya Bhanu Meekhra,SENIOR,most_frequent,2,1,2,Aditya Bhanu Meekhra
246,Varun Cahndiok,AOR,most_frequent,6,3,6,Varun Cahndiok | Varun Chandhiok | Varun Chandiok
247,Ranjit Kapoor,AOR,most_frequent,4,1,4,Ranjit Kapoor
248,P V Yogenshwaran,AOR,most_frequent,4,1,4,P V Yogenshwaran
