appearance_id,cluster_id,canonical_name,inferred_designation,confidence_score,raw_name,norm_name,designation_raw,case_id,hearing_date,appearing_for,desig_inference_reason,name_selection_reason
1743,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanatha Shetty,p vishwanatha shetty,Sr. Advocate,10554,2023-02-23,Applicant,unanimous_3plus+latest_agrees,most_frequent
1794,2,P. Vishwanatha Sheety,SENIOR,0.868,P. V. Shetty,p v shetty,Senior Adv.,10570,2025-07-31,Applicant,unanimous_3plus+latest_agrees,most_frequent
1816,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Adv.,10575,2023-09-25,Union of India,unanimous_3plus+latest_agrees,most_frequent
1878,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,10596,2025-01-27,Intervenor,unanimous_3plus+latest_agrees,most_frequent
1903,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanathan Shetty,p vishwanathan shetty,Sr.Adv,10605,2019-05-12,Union of India,unanimous_3plus+latest_agrees,most_frequent
1991,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Sr. Advocate,10636,2024-08-17,Intervenor,unanimous_3plus+latest_agrees,most_frequent
2069,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,10662,2021-03-01,Union of India,unanimous_3plus+latest_agrees,most_frequent
2145,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Viswanatha Shetty,p viswanatha shetty,Sr. Adv.,10688,2019-01-02,Respondent,unanimous_3plus+latest_agrees,most_frequent
2172,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr.Adv,10697,2023-06-11,Applicant,unanimous_3plus+latest_agrees,most_frequent
2198,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr.Adv,10705,2018-01-03,Applicant,unanimous_3plus+latest_agrees,most_frequent
2214,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Viswanatha Shetty,p viswanatha shetty,Sr. Advocate,10710,2023-07-31,Intervenor,unanimous_3plus+latest_agrees,most_frequent
2255,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Senior Adv.,10724,2022-08-31,Union of India,unanimous_3plus+latest_agrees,most_frequent
2262,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Sr.Adv,10726,2018-06-16,Applicant,unanimous_3plus+latest_agrees,most_frequent
2282,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10732,2024-04-06,Applicant,unanimous_3plus+latest_agrees,most_frequent
2330,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanatha Shetty,p vishwanatha shetty,Senior Adv.,10746,2018-01-01,Applicant,unanimous_3plus+latest_agrees,most_frequent
2400,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Adv.,10770,2025-10-29,Respondent,unanimous_3plus+latest_agrees,most_frequent
2502,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Senior Advocate,10802,2023-11-28,Petitioner,unanimous_3plus+latest_agrees,most_frequent
2592,2,P. Vishwanatha Sheety,SENIOR,0.947,P. v. Vishwanatha Shetty,p v vishwanatha shetty,Sr. Adv.,10829,2020-04-26,Applicant,unanimous_3plus+latest_agrees,most_frequent
2659,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10851,2020-06-30,Applicant,unanimous_3plus+latest_agrees,most_frequent
2683,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Advocate,10857,2021-07-05,State,unanimous_3plus+latest_agrees,most_frequent
2698,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr.Adv,10862,2022-06-09,Applicant,unanimous_3plus+latest_agrees,most_frequent
2821,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Viswanatha Shetty,p viswanatha shetty,Sr. Adv.,10901,2018-07-20,Petitioner,unanimous_3plus+latest_agrees,most_frequent
2839,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10906,2022-01-15,Petitioner,unanimous_3plus+latest_agrees,most_frequent
2860,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Senior Advocate,10913,2024-11-11,Petitioner,unanimous_3plus+latest_agrees,most_frequent
2868,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Adv.,10915,2023-06-05,Applicant,unanimous_3plus+latest_agrees,most_frequent
2924,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Adv.,10934,2021-10-16,Applicant,unanimous_3plus+latest_agrees,most_frequent
2951,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Advocate,10944,2021-10-21,State,unanimous_3plus+latest_agrees,most_frequent
3051,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10977,2021-10-19,Intervenor,unanimous_3plus+latest_agrees,most_frequent
3079,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Sr. Adv.,10986,2018-11-18,State,unanimous_3plus+latest_agrees,most_frequent
3176,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanathan Shetty,p vishwanathan shetty,Senior Adv.,11018,2025-05-30,Respondent,unanimous_3plus+latest_agrees,most_frequent
3196,2,P. Vishwanatha Sheety,SENIOR,0.945,P. Vishwanatha Shetty,p vishwanatha shetty,Sr. Adv.,11024,2021-11-11,Petitioner,unanimous_3plus+latest_agrees,most_frequent
3259,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Advocate,11047,2023-08-18,Union of India,unanimous_3plus+latest_agrees,most_frequent
3267,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Senior Adv.,11050,2022-02-18,Petitioner,unanimous_3plus+latest_agrees,most_frequent
3354,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Sheety,p vishwanatha sheety,Sr. Adv.,11078,2019-09-24,State,unanimous_3plus+latest_agrees,most_frequent
3546,2,P. Vishwanatha Sheety,SENIOR,0.95,P. Vishwanatha Setty,p vishwanatha setty,Senior Advocate,11139,2021-04-02,Applicant,unanimous_3plus+latest_agrees,most_frequent
3,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Advocate,10002,2025-03-25,Petitioner,conflicting_signals+latest_conflicts,most_frequent
6,3,Aarav Bhatia,ADVOCATE,0.666,Aditya Bhati,aditya bhati,AOR,10002,2025-03-25,Petitioner,conflicting_signals+latest_conflicts,most_frequent
41,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate-on-Record,10018,2023-11-24,Respondent,conflicting_signals+latest_conflicts,most_frequent
58,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,AoR,10022,2023-08-20,Union of India,conflicting_signals+latest_conflicts,most_frequent
82,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10028,2019-02-15,Respondent,conflicting_signals+latest_conflicts,most_frequent
116,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,AoR,10038,2023-07-02,Petitioner,conflicting_signals+latest_conflicts,most_frequent
199,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate,10066,2021-12-06,Union of India,conflicting_signals+latest_conflicts,most_frequent
217,3,Aarav Bhatia,ADVOCATE,0.732,Aarav Bhatiya,aarav bhatiya,AoR,10070,2022-03-18,Petitioner,conflicting_signals+latest_conflicts,most_frequent
259,3,Aarav Bhatia,ADVOCATE,0.741,A. Bhatia,a bhatia,advocate,10084,2021-05-03,Respondent,conflicting_signals+latest_conflicts,most_frequent
277,3,Aarav Bhatia,ADVOCATE,0.741,A. Bhatia,a bhatia,Sr.Adv,10093,2025-05-31,Union of India,conflicting_signals+latest_conflicts,most_frequent
288,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Advocate,10098,2024-04-30,Petitioner,conflicting_signals+latest_conflicts,most_frequent
295,3,Aarav Bhatia,ADVOCATE,0.741,A. Bhatia,a bhatia,A.O.R.,10101,2022-08-23,Intervenor,conflicting_signals+latest_conflicts,most_frequent
365,3,Aarav Bhatia,ADVOCATE,0.741,A. Bhatia,a bhatia,Sr. Adv.,10122,2024-04-23,Petitioner,conflicting_signals+latest_conflicts,most_frequent
460,3,Aarav Bhatia,ADVOCATE,0.736,Aarav Bhatiya,aarav bhatiya,Adv.,10152,2020-11-25,Applicant,conflicting_signals+latest_conflicts,most_frequent
467,3,Aarav Bhatia,ADVOCATE,0.737,A. Bhatia,a bhatia,advocate,10153,2019-01-06,Union of India,conflicting_signals+latest_conflicts,most_frequent
539,3,Aarav Bhatia,ADVOCATE,0.737,A. Bhatia,a bhatia,advocate,10177,2020-11-28,State,conflicting_signals+latest_conflicts,most_frequent
589,3,Aarav Bhatia,ADVOCATE,0.738,Aarav Bhatiya,aarav bhatiya,Advocate-on-Record,10192,2023-04-12,Petitioner,conflicting_signals+latest_conflicts,most_frequent
688,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Adv.,10224,2025-12-22,Applicant,conflicting_signals+latest_conflicts,most_frequent
738,3,Aarav Bhatia,ADVOCATE,0.738,Aarav Bhatiya,aarav bhatiya,Advocate ,10241,2021-04-24,Respondent,conflicting_signals+latest_conflicts,most_frequent
798,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,AOR,10259,2023-02-13,Union of India,conflicting_signals+latest_conflicts,most_frequent
855,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Advocate,10274,2025-07-06,Union of India,conflicting_signals+latest_conflicts,most_frequent
863,3,Aarav Bhatia,ADVOCATE,0.738,Aarav Bhatiya,aarav bhatiya,AoR,10277,2023-05-28,Union of India,conflicting_signals+latest_conflicts,most_frequent
1032,3,Aarav Bhatia,ADVOCATE,0.729,A. Bhatia,a bhatia,advocate,10328,2019-06-28,Applicant,conflicting_signals+latest_conflicts,most_frequent
1121,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Advocate,10351,2025-11-26,Applicant,conflicting_signals+latest_conflicts,most_frequent
1146,3,Aarav Bhatia,ADVOCATE,0.739,Aarav Bhatiya,aarav bhatiya,Senior Advocate,10359,2024-07-20,Union of India,conflicting_signals+latest_conflicts,most_frequent
1168,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Senior Adv.,10365,2024-03-03,Union of India,conflicting_signals+latest_conflicts,most_frequent
1173,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10367,2020-01-24,Intervenor,conflicting_signals+latest_conflicts,most_frequent
1333,3,Aarav Bhatia,ADVOCATE,0.672,Aditya Bhati,aditya bhati,AoR,10421,2024-07-06,State,conflicting_signals+latest_conflicts,most_frequent
1399,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Senior Advocate,10442,2024-01-20,State,conflicting_signals+latest_conflicts,most_frequent
1441,3,Aarav Bhatia,ADVOCATE,0.724,A. Bhatia,a bhatia,A.O.R.,10456,2022-01-19,State,conflicting_signals+latest_conflicts,most_frequent
1462,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate ,10463,2018-11-15,Intervenor,conflicting_signals+latest_conflicts,most_frequent
1465,3,Aarav Bhatia,ADVOCATE,0.74,Aarav Bhatiya,aarav bhatiya,advocate,10464,2020-07-01,Intervenor,conflicting_signals+latest_conflicts,most_frequent
1473,3,Aarav Bhatia,ADVOCATE,0.722,A. Bhatia,a bhatia,Sr. Advocate,10466,2024-10-10,Petitioner,conflicting_signals+latest_conflicts,most_frequent
1537,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Adv.,10488,2025-09-09,Union of India,conflicting_signals+latest_conflicts,most_frequent
1644,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Adv.,10523,2021-10-18,Intervenor,conflicting_signals+latest_conflicts,most_frequent
1681,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Advocate,10537,2025-07-23,Petitioner,conflicting_signals+latest_conflicts,most_frequent
1714,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Adv.,10546,2020-03-07,State,conflicting_signals+latest_conflicts,most_frequent
1738,3,Aarav Bhatia,ADVOCATE,0.722,A. Bhatia,a bhatia,Adv.,10553,2020-09-23,Union of India,conflicting_signals+latest_conflicts,most_frequent
1786,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate,10568,2020-10-19,Intervenor,conflicting_signals+latest_conflicts,most_frequent
1814,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,A.O.R.,10575,2023-09-25,Union of India,conflicting_signals+latest_conflicts,most_frequent
1907,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Sr. Advocate,10606,2024-10-16,Respondent,conflicting_signals+latest_conflicts,most_frequent
1928,3,Aarav Bhatia,ADVOCATE,0.722,A. Bhatia,a bhatia,Advocate ,10613,2021-10-13,State,conflicting_signals+latest_conflicts,most_frequent
1936,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Adv.,10615,2018-10-20,Petitioner,conflicting_signals+latest_conflicts,most_frequent
1944,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,AOR,10619,2022-12-28,Union of India,conflicting_signals+latest_conflicts,most_frequent
1960,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10626,2018-04-18,State,conflicting_signals+latest_conflicts,most_frequent
2012,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Senior Advocate,10644,2024-01-01,Petitioner,conflicting_signals+latest_conflicts,most_frequent
2021,3,Aarav Bhatia,ADVOCATE,0.743,Aarav Bhatiya,aarav bhatiya,advocate,10647,2018-01-30,Intervenor,conflicting_signals+latest_conflicts,most_frequent
2039,3,Aarav Bhatia,ADVOCATE,0.743,Aarav Bhatiya,aarav bhatiya,Sr.Adv,10653,2024-11-16,Applicant,conflicting_signals+latest_conflicts,most_frequent
2076,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10664,2019-01-05,Respondent,conflicting_signals+latest_conflicts,most_frequent
2111,3,Aarav Bhatia,ADVOCATE,0.719,A. Bhatia,a bhatia,Advocate ,10676,2020-05-03,State,conflicting_signals+latest_conflicts,most_frequent
2112,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate,10677,2021-07-02,Union of India,conflicting_signals+latest_conflicts,most_frequent
2191,3,Aarav Bhatia,ADVOCATE,0.744,Aarav Bhatiya,aarav bhatiya,Sr. Advocate,10702,2024-03-21,Respondent,conflicting_signals+latest_conflicts,most_frequent
2223,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate ,10714,2019-06-16,Respondent,conflicting_signals+latest_conflicts,most_frequent
2238,3,Aarav Bhatia,ADVOCATE,0.744,Aarav Bhatiya,aarav bhatiya,Advocate ,10719,2018-07-21,Union of India,conflicting_signals+latest_conflicts,most_frequent
2248,3,Aarav Bhatia,ADVOCATE,0.744,Aarav Bhatiya,aarav bhatiya,Advocate,10722,2018-11-24,State,conflicting_signals+latest_conflicts,most_frequent
2369,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10761,2018-06-03,Applicant,conflicting_signals+latest_conflicts,most_frequent
2377,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10763,2021-10-01,Union of India,conflicting_signals+latest_conflicts,most_frequent
2455,3,Aarav Bhatia,ADVOCATE,0.683,Aditya Bhati,aditya bhati,Advocate-on-Record,10788,2019-11-25,Union of India,conflicting_signals+latest_conflicts,most_frequent
2527,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate,10811,2019-02-12,Union of India,conflicting_signals+latest_conflicts,most_frequent
2615,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,10837,2021-07-29,State,conflicting_signals+latest_conflicts,most_frequent
2638,3,Aarav Bhatia,ADVOCATE,0.713,A. Bhatia,a bhatia,Sr. Adv.,10843,2024-09-08,Respondent,conflicting_signals+latest_conflicts,most_frequent
2657,3,Aarav Bhatia,ADVOCATE,0.745,Aarav Bhatiya,aarav bhatiya,advocate,10851,2020-06-30,Applicant,conflicting_signals+latest_conflicts,most_frequent
2748,3,Aarav Bhatia,ADVOCATE,0.711,A. Bhatia,a bhatia,Advocate on Record,10878,2023-01-15,Applicant,conflicting_signals+latest_conflicts,most_frequent
2829,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Senior Advocate,10903,2024-11-08,Applicant,conflicting_signals+latest_conflicts,most_frequent
2849,3,Aarav Bhatia,ADVOCATE,0.746,Aarav Bhatiya,aarav bhatiya,Sr.Adv,10909,2024-03-04,Petitioner,conflicting_signals+latest_conflicts,most_frequent
2935,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate-on-Record,10938,2022-08-23,Applicant,conflicting_signals+latest_conflicts,most_frequent
2946,3,Aarav Bhatia,ADVOCATE,0.746,Aarav Bhatiya,aarav bhatiya,advocate,10942,2021-09-20,Union of India,conflicting_signals+latest_conflicts,most_frequent
2950,3,Aarav Bhatia,ADVOCATE,0.709,A. Bhatia,a bhatia,Adv.,10944,2021-10-21,State,conflicting_signals+latest_conflicts,most_frequent
2991,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Advocate on Record,10957,2023-11-15,Union of India,conflicting_signals+latest_conflicts,most_frequent
3048,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,Adv.,10976,2019-12-03,Petitioner,conflicting_signals+latest_conflicts,most_frequent
3057,3,Aarav Bhatia,ADVOCATE,0.747,Aarav Bhatiya,aarav bhatiya,Senior Adv.,10979,2025-07-29,Petitioner,conflicting_signals+latest_conflicts,most_frequent
3137,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,AoR,11003,2023-05-30,State,conflicting_signals+latest_conflicts,most_frequent
3480,3,Aarav Bhatia,ADVOCATE,0.709,A. Bhatia,a bhatia,Advocate ,11118,2020-12-20,Respondent,conflicting_signals+latest_conflicts,most_frequent
3548,3,Aarav Bhatia,ADVOCATE,0.75,Aarav Bhatia,aarav bhatia,advocate,11139,2021-04-02,Applicant,conflicting_signals+latest_conflicts,most_frequent
3553,3,Aarav Bhatia,ADVOCATE,0.709,A. Bhatia,a bhatia,Sr. Adv.,11141,2025-05-30,Respondent,conflicting_signals+latest_conflicts,most_frequent
4,4,Ashok Malik,SENIOR,0.95,Ashok Malik,ashok malik,Sr. Adv.,10002,2025-03-25,Petitioner,unanimous_3plus+latest_agrees,most_frequent
642,4,Ashok Malik,SENIOR,0.95,Ashok Malik,ashok malik,Senior Adv.,10207,2023-05-10,State,unanimous_3plus+latest_agrees,most_frequent
1061,4,Ashok Malik,SENIOR,0.95,Ashok Malik,ashok malik,Sr. Adv.,10335,2022-09-27,Petitioner,unanimous_3plus+latest_agrees,most_frequent
